Unnamed: 0,id_hourse,Addresse,Titre,Prix,Surface,Nb_piece,Nb_chambre,Parking,Jardin,Ascenseur,Terrasse,Garage,Prix_sur,Reference,Date_publication,Date_modification,Titre_description,Description
0,ES91_0,Boussy-Saint-Antoine 91800,"Achat maison 4 pièces 128 m², Boussy-Saint-Antoine - 414 500 €",414 500 €,128 m²,4 pièces,3 chambres,2 places de parking,Jardin,,,,3 238 €/m²,Réf. de l’annonce : 098906E1QEZB,Publiée le 12 oct. 2020,Modifiée le 6 nov. 2020,Descriptif de cette maison à vendre de 4 pièces et 128 m²,"Maison Boussy Saint Antoine 4 pièce(s) 128 m2, sous-sol et jardin. Très bien située dans le vieux bourg de Boussy Saint Antoine dans environnement verdoyant, cette maison de 128 m² habitables se compose d'une grande entrée, un séjour de 38 m² avec cuisine ouverte, 3 chambres dont une en rez de chaussée, 1 salle d'eau et 1 salle de bains.. Combles pouvant être aménagés par la suite.. Cave totale de 50 m² .. Le tout sur 350 m² de terrain entièrement clos avec carport pour stationner les voitures.. A 10 min à pieds des écoles, commerces et du RER D."
1,ES91_1,Chilly-Mazarin 91380 (Gravigny),"Achat maison 4 pièces 82 m², Chilly-Mazarin - 357 000 €",357 000 €,"81,78 m²",4 pièces,3 chambres,3 places de parking,Jardin,,1 terrasse,,4 365 €/m²,Réf. de l’annonce : 3310,Publiée il y a plus de 2 mois,Modifiée le 12 oct. 2020,Descriptif de cette maison à vendre de 4 pièces et 82 m²,"Vente d'une maison F4 à CHILLY MAZARIN. MAISON 4 PIÈCES AU CALME - AVEC TERRASSE
À vendre : à CHILLY MAZARIN (91380), maison en parfait état édifiée sur un terrain de 175 m² comprenant : entrée, séjour lumineux exposé SUD-EST, cuisine aménagée et équipée, buanderie avec WC.
A l'étage : dégagement, deux chambres avec placards, une salle de bains avec WC, une suite parentale avec sa salle de bains.
La présence d'une terrasse et d'un jardin vous permettra de profiter des beaux jours.
La maison possède des radiateurs fonctionnant au gaz.
Pour davantage de rangements, ce logement dispose également d'un grenier.
C'est une maison mitoyenne d'un seul côté, de bon standing datant de 2013. Un garage double et deux places de parking sont prévus pour stationner vos véhicules.
On trouve des établissements scolaires primaires à moins de 10 minutes du bien. Niveau transports en commun, on trouve deux gares à quelques pas de la maison. Vous trouverez un conservatoire et un théâtre à proximité du logement.
L'énergie et la consommation deviennent des critères d'achat dont il faut tenir compte. L'indice B indique que cette maison est très performante énergétiquement (82 kWh/m² annuels). L'indice GES est, quant à lui, de catégorie C impliquant de faibles émissions de gaz à effet de serre (19,2 Kg CO?/m²/an).
Son prix de vente est de 357 000 (honoraires à la charge du vendeur). Copropriété de 43 lots . 180 de charges annuelles.
Copropriété de 43 lots (Pas de procédure en cours).
Charges annuelles : 180.00 euros."
2,ES91_2,Sainte-Geneviève-des-Bois 91700 (Georges Pitard),"Achat maison 6 pièces 163 m², Sainte-Geneviève-des-Bois - 450 000 €",450 000 €,163 m²,6 pièces,4 chambres,3 places de parking,Jardin,,,,2 761 €/m²,Réf. de l’annonce : 09891902QHRQ,Publiée il y a plus de 2 mois,Modifiée le 27 nov. 2020,Descriptif de cette maison à vendre de 6 pièces et 163 m²,"Maison STE GENEVIEVE DES BOIS 6 pièce(s) 160 m². Dans secteur calme et recherché à 10 minutes à pied de la gare venez découvrir ce pavillon comprenant : Une vaste entrée avec placard, salle à manger de 27m2 donnant sur un séjour de 31m2 très lumineux avec accès terrasse, cuisine aménagée et entièrement équipée de 16m2 , coin buanderie, bureau, chambre avec salle d'eau, wc. Au 1er étage vous découvrirez un palier avec accès grenier, 3 chambres avec placard dont une suite parentale, une seconde salle d'eau avec wc. Cave, garage de 16.50m2, le tout sur 500m2 de terrain.. A visiter !!!. Visite virtuelle disponible sur notre site !!!"
3,ES91_3,Longjumeau 91160 (Gubanski - Sud),"Achat maison 7 pièces 154 m², Longjumeau - 467 500 €",467 500 €,154 m²,7 pièces,4 chambres,8 places de parking,Jardin,,,,3 036 €/m²,Réf. de l’annonce : 098023E1LUDE,Publiée il y a plus de 2 mois,Modifiée le 6 nov. 2020,Descriptif de cette maison à vendre de 7 pièces et 154 m²,"Maison Longjumeau 7 pièce(s) 154 m2 / 2 doubles garages /local moto. L'agence Orpi Montlhery vous propose de découvrir cette maison individuelle d'architecte de 1970 située dans une rue pavillonnaire et calme.. Elle se compose d'un hall d'entrée spacieux, une chambre, une buanderie avec wc et nombreux rangements, une pièce de 21 m² avec un point d'eau vous permettra de l'aménagée en suite parentale si vous le souhaitez .. A l'étage, une pièce de vie agréable, une cuisine indépendante aménagée (possible de l'ouvrir), un couloir optimisé de rangements / penderie dessert 3 chambres, une salle de bain, un wc.. Ce bien à la configuration circulaire et modulable dispose également de 2 doubles garages, un local moto, stationnements supplémentaire.. Profitez de la terrasse ensoleillée accessible de la cuisine et de l'espace vie.. GROS POTENTIEL pour cette maison édifiée sur une parcelle de 589 m² avec doubles accès dont un avec portail motorisé.. Possibilité également de diviser le bien !. Electricité refaite, bon DPE.. Accès n20 rapide, écoles, transports et toutes commodités à pieds.. UNE VISITE S'IMPOSE !!!"
4,ES91_4,Morsang-sur-Orge 91390 (Langevin),"Achat maison 7 pièces 155 m², Morsang-sur-Orge - 465 000 €",465 000 €,155 m²,7 pièces,5 chambres,6 places de parking,Jardin,,,,3 000 €/m²,Réf. de l’annonce : 098061E1LN0N,Publiée il y a plus de 2 mois,Modifiée le 1 déc. 2020,Descriptif de cette maison à vendre de 7 pièces et 155 m²,"Maison Morsang Sur Orge. EXCLUSIVITÉ - MORSANG SUR ORGE. Vous êtes à la recherche d'un bien unique, d'une maison lumineuse et calme située aux portes du PARC BEAUSEJOUR ? . Laissez vous séduire par cette demeure familiale (environ 155 m²) , habitable sans travaux et construite sur un terrain de 400m².. . Au rez-de-chaussée vous bénéficierez d'une cuisine aménagée et équipée ouverte sur terrasse laissant présager d'agréables petits-déjeuners. . Les beaux volumes des pièces de vie vous permettront de passer de belles soirées devant la cheminée (salon) ainsi que de sympathiques repas familiaux (salle à manger) dès que cela sera de nouveau possible !. Une chambre/bureau, une salle de bains (double vasque, douche et baignoire) et WC indépendant complètent le rez-de-chaussée.. . A l'étage vous disposerez de 4 grandes chambres supplémentaires dont une ayant sa propre terrasse pour profiter du soleil. Vous y trouverez également un WC avec douche.. . Les combles isolés bénéficient d'un plancher béton et peuvent être aménagés. . . Le dernier atout de cette demeure est son sous-sol total offrant buanderie/Chaufferie, cave et garage (2/3 véhicules).. . CINQ chambres dont une en RDC, double vitrage, Store Banne, double exposition, combles et sous-sol total !! N'hésitez pas et venez juger par vous même de la qualité des prestations proposées en visitant cette maison sans attendre.. . VISITE VIRTUELLE disponible sur demande.."
5,ES91_5,Champcueil 91750,"Achat maison 6 pièces 177 m², Champcueil - 536 000 €",536 000 €,177 m²,6 pièces,4 chambres,3 places de parking,Jardin,,,,3 028 €/m²,Réf. de l’annonce : 098064E1M62I,Publiée il y a plus de 2 mois,Modifiée le 6 nov. 2020,Descriptif de cette maison à vendre de 6 pièces et 177 m²,"Maison Coup de coeur ! Très beaux volumes et sans aucun travaux. Exclusivité Mandat By Orpi. COUP DE COEUR pour cette maison aux très beaux volumes située en lisière de forêt et sans aucune nuisance ! . Vous serez séduits par cette propriété édifiée sur sous-sol total et entièrement rénovée en 2019 avec des matériaux de qualité comprenant au rdc : une entrée , un double séjour lumineux avec cheminée insert, une cuisine aménagée-équipée, une chambre avec possibilité de pièce d'eau, une suite parentale avec un grand dressing et sa salle de bain équipée d'une balnéothérapie, d'une douche et d'un wc, et un wc avec lave-mains.. A l'étage, un palier desservant deux grandes chambres (avec la possibilité de créer 2 chambres dans la plus spacieuse) et une salle de bain avec baignoire, douche et wc.. Double vitrage, alarme, visiophone, climatisation réversible, portail et porte de garage motorisés, deux terrasses, sous-sol total. Terrain clos sans vis-à vis de 1100m² dans un environnement privilégié.. Accès écoles primaires, maternelles et collège à 5 min, accès autoroute à 5 min.. A découvrir sans tarder !"
6,ES91_6,Bures-sur-Yvette 91440,"Achat maison 9 pièces 140 m², Bures-sur-Yvette - 525 300 €",525 300 €,140 m²,9 pièces,7 chambres,2 places de parking,Jardin,,,,3 643 €/m²,Réf. de l’annonce : 652,Publiée il y a plus de 2 mois,Modifiée le 9 déc. 2020,Descriptif de cette maison à vendre de 9 pièces et 140 m²,"A VENDRE - MAISON 9 PIÈCES 140 M2 - BURES SUR YVETTE. À Bures-Sur-Yvette, dans le quartier de la Hacquinière à deux pas des commerces, écoles et transports, une maison familliale d'environ 140 m2 comprenant une entrée en rez-de-jardin, un bureau. Au rez-de-chaussée surélevé : dégagement déservant 2 chambres dont 1 avec mezzanine, séjour d'environ 28,54 m2 avec balcon, cuisine ouverte équipée et aménagée, une chambre, salle de bains et WC séparés. Dans les combles aménagés : palier avec point d'eau donnant accès à 2 chambres. Espace de rangement et buanderie au rez-de-jardin.
Logement indépendant de type F3 en rez-de-jardin comprenant une pièce de vie avec kitchenette, 2 chambres et une salle d'eau avec WC. Ce logement meublé génère un loyer de 700 EUR / mois.
Jardin plat arboré d'environ 484 m2.
Prix : 525 300 EUR dont 3 % TTC d'honoraires inclus à la charge de l'acquéreur (net vendeur : 510 000 EUR).
Agence immobilière DE TOIT EN TOIT BURES SUR YVETTE : Voir le téléphone Vallée de Chevreuse. Pour visiter ce bien ou en découvrir d'autres, votre agence immobilière DE TOIT EN TOIT se fera un plaisir de vous aider. Contactez nous au Voir le téléphone - Vallée de Chevreuse."
7,ES91_7,Sainte-Geneviève-des-Bois 91700 (Georges Pitard),"Achat maison 7 pièces 146 m², Sainte-Geneviève-des-Bois - 477 000 €",477 000 €,146 m²,7 pièces,4 chambres,4 places de parking,Jardin,,,,3 267 €/m²,Réf. de l’annonce : 098019E1LWTH,Publiée il y a plus de 2 mois,Modifiée le 27 nov. 2020,Descriptif de cette maison à vendre de 7 pièces et 146 m²,"Maison Sainte Geneviève des bois. Venez découvrir ce beau pavillon de 150 m² élevé sur un sous-sol total à 10 minutes à pied de la gare de Sainte Geneviève des bois, comprenant:. _ Au rez de chaussée: entrée avec placard, séjour-salle à manger, cuisine aménagée et équipée, cellier attenant à la cuisine, suite parentale avec dressing et salle de bains , wc séparé et dégagement.. _ A l'étage: trois chambres, salle d'eau, grand dégagement, wc séparé.. Pas de travaux à prévoir.. La maison est édifiée sur une parcelle d'une contenance globale de 566 m² environ.. Proche gare de Sainte Geneviève des bois (10 minutes à pied).. Proche écoles et commerces.. Quartier très recherché.. A visiter sans tarder.. VISITE VIRTUELLE SUR NOTRE SITE."
8,ES91_8,Athis-Mons 91200 (Mons - Plaine Basse),"Achat maison 8 pièces 300 m², Athis-Mons - 655 000 €",655 000 €,300 m²,8 pièces,5 chambres,5 places de parking,Jardin,,,,2 183 €/m²,Réf. de l’annonce : 098055E15BVX,Publiée il y a plus de 2 mois,Modifiée le 6 nov. 2020,Descriptif de cette maison à vendre de 8 pièces et 300 m²,"Demeure Athis Mons 8 pièce(s) 300 m2 jardin paysagé. Magnifique demeure sur les hauteurs d'Athis-Mons de 8 pièces même un peu plus? sur 300 M2 habitable et sur 3 niveaux. Une splendide parcelle de près de 700 M2 avec un jardin entièrement créé par un paysagiste. Cette demeure à un potentiel énorme et reste complètement modulable de part la taille de ses volumes . Il est envisageable à moindre coup de créer 2 beaux appartements complètement indépendants . Un vrai rez de jardin car pas du tout enterré , vous trouverez un garage double , un coin buanderie, d?immenses placards, une salle d'eau ainsi qu'une immense pièce servant actuellement d?espace cinéma. Une magnifique cave à vin faite par un ébéniste somptueux. A l étage, une vraie entrée avec sur le coté un vestibule avec WC et lavabo. Une magnifique cuisine hors norme au regard de sa taille, un séjour triple de 70 M2, accès direct au jardin. Vous emprunterez un escalier en fer forgé de toute beauté, à l'étage une grande chambre avec terrasse, salle d?eau attenante, un bureau. Nous rentrons maintenant dans l'espace parental spacieux et lumineux, vue sur Seine, une salle de bains avec baignoire balnéo et douche Hammam, une seconde terrasse extérieure, 2 dressings. Les combles ont été aménagés en rangement. Les matériaux sont de bonne facture, marbre et bois, beaucoup de réalisations sur mesure, volets et portail élèctrique. Produit idéal pour grande famille voulant de l'indépendance, ou personne voulant agrémenter une belle maison par des revenus locatifs ou meme profession libérale. La rareté et le coté atypique font de cette demeure un magnifique produit immobilier avec un ratio prix mètre carré plus qu'intéressant ."
9,ES91_9,Étampes 91150 (Saint-Pierre),"Achat maison 6 pièces 198 m², Étampes - 424 000 €",424 000 €,198 m²,6 pièces,4 chambres,2 places de parking,Jardin,,,Garage,2 141 €/m²,Réf. de l’annonce : 2460,Publiée il y a plus de 2 mois,Modifiée le 12 nov. 2020,Descriptif de cette maison à vendre de 6 pièces et 198 m²,"Votre agence ERA IMMOBILIER Etampes vous propose une maison individuelle à vendre sur Etampes.

Sur Etampes dans un secteur très recherché proche gare RER C, commerces et écoles venez decouvrir cette maison individuelle de construction traditionnelle sur sous-sol total vous offrant des prestations de qualités.

Au rez de chaussée vous decouvrirez une pièce de vie avec cheminée de 44 m², une belle cuisine amenagée et equipée de 24 m².
Vous pourrez profiter à n'importe quelle saison de la veranda climatisée avec vue sur le jardin.
Une chambre ainsi qu'une salle d'eau et des WC viennent compléter un mode de vie de plain pied.

Au premier étage vous trouverez un hall avec de nombreux rangements ainsi que 3 chambres dont une de 37 m², une salle de bains avec WC ainsi qu'un dressing.
Chaque chambre est equipée de placard ou dressing.

Vous serez séduit par son jardin de 1109 m² au calme avec terrasse, un bassin et de nombreux arbres fruitiers.

Au sous-sol vous disposerez d'un garage double ainsi que 4 places de stationnement supplémentaires dans la propriété.

BIEN UNIQUE AVEC PRESTATIONS DE QUALITÉS, RARE SUR LE SECTEUR !

Pour visiter, ou pour toutes informations, contactez directement votre agent ERA Immobilier ou votre agence ERA Immobilier au Voir le téléphone . Toutes nos annonces sont disponibles sur notre site internet: (lien supprimé) 
Contacter - achat Etampes, vente Etampes, location Etampes, gestion Etampes
L' agence ERA Immobillier propose des pavillons et propriétés à vendre ou à louer sur les secteurs d'Etampes, Morigny Champigny, Ormoy la rivière, Saclas, Merreville, Guillerval, Briéres les Scéllés, Etrechy, Chamarande.
Abbéville-la-Rivière Angerville Arrancourt Authon-la-PlaineBlandy Bois-Herpin Boissy-la-Rivière Boissy-le-Sec Boutervilliers Bouville Brières-les-Scellés Brouy Chalo-Saint-Mars Chalou-Moulineux Champmotteux Chatignonville Congerville-Thionville Estouches Fontaine-la-Rivière Guillerval La Forêt-Sainte-Croix Le Plessis-Saint-Benoist Marolles-en-Beauce Immobilier Mespuits Monnerville Morigny-Champigny Mérobert Méréville Ormoy-la-Rivière Puiselet-le-Marais Pussay Roinvilliers Saclas Saint-Cyr-la-Rivière Saint-Escobille Saint-Hilaire Valpuiseaux Étampes"
