,Unnamed: 0,id_hourse,Addresse,Titre,Prix,Surface,Nb_piece,Nb_chambre,Parking,Jardin,Ascenseur,Terrasse,Garage,Prix_sur,Reference,Date_publication,Date_modification,Titre_description,Description
0,0,HS92_0,Asnières-sur-Seine 92600 (Coubertin),"Achat maison 5 pièces 105 m², Asnières-sur-Seine - 780 000 €",780 000 €,105 m²,5 pièces,3 chambres,2 places de parking,Jardin,,1 terrasse,,7 177 €/m²,Réf. de l’annonce : 630,Publiée il y a plus de 2 mois,Modifiée le 27 oct. 2020,Descriptif de cette maison à vendre de 5 pièces et 105 m²,"ASNIERES SUR SEINE - MAISON - 780 000 EUROS FAI. A proximité du métro les Agnettes, dans une rue calme et pavillonnaire, maison bien entretenue édifiée sur une parcelle de 203 m² offrant beaucoup de potentiel . Elle se compose d'une entrée, d'un salon salle à manger d'environ 40 m² ouvrant sur une belle terrasse sans vis à vis, d'une grande cuisine, de 3 chambres, d'une salle de bains et des wc. A l'entresol, un sous sol aménagé avec coin sauna, accès au jardin avec piscine chauffée. Grand garage double. Rare sur le secteur. Une visite s'impose. DPE: NC
dont 3.50 % honoraires TTC à la charge de l'acquéreur."
1,1,HS92_1,Fontenay-aux-Roses 92260,"Achat maison 8 pièces 155 m², Fontenay-aux-Roses - 1 049 000 €",1 049 000 €,155 m²,8 pièces,4 chambres,2 places de parking,Jardin,,,1 garage,6 635 €/m²,Réf. de l’annonce : VM326-LAP,Publiée le 12 nov. 2020,Modifiée le 13 nov. 2020,Descriptif de cette maison à vendre de 8 pièces et 155 m²,"Un esprit tendance dans le classique d'une meulière !. Covid-19 - Visite Virtuelle dernière génération sur demande | Local Agent vous invite à visiter ce bien en visite virtuelle 7j/7 ! Contactez Nous pour organiser un rdv sur mesure ... depuis votre canapé !
 Local Agent vous propose cette meulière récemment rénovée de 155m2 ( 215m2 au total ) avec jardin et garage sur un terrain de 400m2 environ à quelques minutes des commerces du centre ville de Fontenay-aux-Roses !
 Ce bien familial offre 4 chambres et le charme d'une maison moderne dans l'écrin d'une meulière !
En détail : Au niveau principal : entrée , double séjour avec cheminée , une cuisine dinatoire équipée , un espace télé travail , wc séparé .
Au 1er étage : un palier , 3 chambres , une salle de bains avec douche et wc .
Au dernier étage : une suite parentale avec salle de douche à l'italienne et wc .
Au niveau bas : Cave , atelier , buanderie et chaufferie avec accès direct au jardin .
Pour compléter les caractéristiques de ce bien , vous profiterez d'un grand jardin arboré avec terrasse ,d'un Garage .et un petit local annexe.
Toiture entretenu et chaudière fioul de 2013 .
Coté pratique :
Commerces du Centre ville de Fontenay-aux-Roses à 5mn à pied , RER B à 850 m, cinéma et theatre à 2 mn , parc à 1 mn , médiathèque à 5 mn .
Coulée verte à 2mn en vélo , Paris à 13mn en vélo ( porte de Chatillon )
Aéroport de Orly 20mn , Gare Tgv Massy 22mn .
Proche Ecole publique ou privée St Vincent de Paul à 3mN
Si vous recherchez une maison avec le charme de l'ancien et un esprit comtemporain , 4 chambres et un bel espace exterieur , contactez nous !
Pour organiser une visite de ce bien : David Wizo, votre Local Agent Voir le téléphone 
Prix de ce bien: 1.049.000 € dont 2% TTC d'honoraires à la charge de l'acquéreur . Prix du bien hors honoraires: 1.028.500€.
 Vidéo du bien , visite virtuelle et plan sur demande.
Mandat N° 84. Honoraires inclus de 1.99% TTC à la charge de l'acquéreur. Prix hors honoraires 1 028 500 €. Dans une copropriété. Aucune procédure n'est en cours. Nos honoraires : Voir les barèmes des honoraires"
2,2,HS92_3,Suresnes 92150 (Plateau Ouest),"Achat maison 6 pièces 130 m², Suresnes - 1 149 000 €",1 149 000 €,130 m²,6 pièces,3 chambres,,,,,,8 838 €/m²,,Publiée le 1 déc. 2020,Réf. de l’annonce : 1013,Descriptif de cette maison à vendre de 6 pièces et 130 m²,"Maison 6P avec jardin proche gare/écoles, au calme. Suresnes Mont-Valérien - Envie d'un petit air de campagne pour oublier la ville et se ressourcer au calme absolu, dans un quartier très recherché de Suresnes, à 5 min de La Défense et 15 min de Paris Saint-Lazare ? 
Située à quelques pas des transports (gare SNCF/tramway/bus), des établissements scolaires et à 12 min à pied des commerces, cette maison atypique des années 70 et son jardin anglais aux multiples essences ont tout pour vous séduire.
Ses 130m² habitables (187m² au sol en comptant la surface totale) se composent :
- au rez de chaussée, d'une entrée avec vestiaire, d'un cabinet de toilette et d'un garage avec coin buanderie.
- en rez-de jardin, d'un séjour avec grande baie vitrée (HSP 3,80m), parquet et cheminée en marbre, d'un salon/bibliothèque avec vue sur le jardin(possibilité de créer une chambre), d'un bureau, d'un cabinet de toilette, d'une chambre cosy, d'un dressing aménagé sur-mesure et d'une superbe salle de bains contemporaine avec douche et baignoire.
La salle à manger, en surplomb du salon offre un grand placard vaisselier réalisé sur-mesure et un accès direct à la cuisine dînatoire équipée d'électroménager professionnel.
- à l'entresol, une chambre spacieuse et une salle d'eau offrent de nombreuses possibilités (studio ado, suite parentale, espace télétravail séparé).
A l'ombre d'une pergola fleurie aux parfums de rose et de jasmin, face au jardin ensoleillé, la petite terrasse et son BBQ sont la promesse de joyeuses soirées estivales et de délassement. 
Garage avec porte automatisée. Cave. Combles (22m²). Possibilité d'agrandissement (Zone UDa). Beau potentiel. A visiter rapidement."
3,3,HS92_4,Antony 92160 (Baconnets),"Achat maison 5 pièces 112 m², Antony - 680 000 €",680 000 €,"112,39 m²",5 pièces,3 chambres,3 places de parking,Jardin,,,,5 872 €/m²,Réf. de l’annonce : 002029E1PY14,Publiée il y a plus de 2 mois,Modifiée le 3 déc. 2020,Descriptif de cette maison à vendre de 5 pièces et 112 m²,"Maison Antony. Antony, 6' RER Fontaine Michalon, 20' RER Antony centre, dans quartier pavillonnaire au calme, maison de 2014 non mitoyenne d'une surface de 112 m² comprenant de plain pied : entrée avec rangement, wc avec lave mains, double séjour avec cuisine ouverte aménagée/équipée d'une surface totale de 47 m² avec accès terrasse et jardin exposés sud-ouest, cellier/buanderie, garage .. A l'étage un palier desservant 2 grandes chambres avec rangements (12.81 m² et 14.29 m²), wc, salle de bains/douches, chambre avec balcon et dressing . Cave en sous-sol . Ecoles Paul bert et Descartes . Bon état général . Lumineux . Possibilité de garer 2 voitures . Finitions à prévoir . Visite virtuelle : Voir la visite virtuelle ."
4,4,HS92_5,Boulogne-Billancourt 92100 (Renault - Billancourt),"Achat maison 5 pièces 132 m², Boulogne-Billancourt - 1 490 000 €",1 490 000 €,"132,37 m²",5 pièces,4 chambres,,Jardin,,1 terrasse,,"10,9k €/m²",Réf. de l’annonce : 8736,Publiée le 18 oct. 2020,Modifiée le 5 déc. 2020,Descriptif de cette maison à vendre de 5 pièces et 132 m²,"""VILLAGE DU POINT DU JOUR"" - Maison indépendante 132 m² - 3 Chambres L'agence Century 21 Jaurès-Reine vous propose en exclusivité une Maison en monopropriété sur 4 niveaux pour 177m² de terrain. Une fois le portail d'entrée passé vous découvrirez une Maison construite en 1927 et son jardin. Au 1er niveau, une entrée desservant un double séjour de 31m², une cuisine ouvrant sur une terrasse de 12,53m² accessible également par le jardin et un 1er WC indépendant. Au 1er étage, 2 chambres avec la possibilité d'en créer une 3ème et une salle de bains avec WC sanibroyeur. Au deuxième étage une grande chambre parentale sous combles de 35m² avec salle de bains. Un garage en sous-sol et une grande cave complètent ce bien. Possibilité d'acquérir un emplacement de stationnement en sus dans la copropriété voisine. Visite virtuelle disponible sur cette annonce."
5,5,HS92_6,Malakoff 92240 (Clos Montholon - MJQ Henri Barbusse),"Achat maison 6 pièces 162 m², Malakoff - 1 095 000 €",1 095 000 €,162 m²,6 pièces,4 chambres,,Jardin,,,,6 759 €/m²,Réf. de l’annonce : 588,Publiée le 12 oct. 2020,Modifiée le 2 déc. 2020,Descriptif de cette maison à vendre de 6 pièces et 162 m²,"Maison de 162m² - 4 chambres. VISITE VIRTUELLE SUR DEMANDE

Coldwell Banker Rive Sud, votre agence spécialisée en biens immobiliers de prestige, vous propose en EXCLUSIVITÉ cette charmante maison rénovée de 162m².

Située à 10mn des gares de Clamart et Vanves-Malakoff et du métro Malakoff-Etienne Dolet (ligne 13). Cette maison composée de 4 chambres vous séduira par son agencement et sa luminosité. 

Vous démarrerez cette visite par la cuisine équipée donnant sur un grand séjour (possibilité d'ouverture) – salle à manger cathédrale de 32m² avec vue sur jardin paysagé. Deux chambres de 12m² et 14m², un dressing ainsi qu’une salle de douche avec toilette séparée. 
Vous continuerez au premier étage, où vous profiterez d’une mezzanine de 28m², de deux chambres de 18m² et 15m² ainsi que d’une salle de bain avec baignoire et douche et toilette séparée. Le sous-sol de 50m² présente une chaufferie avec chaudière au gaz haute performance installée cette année! et une grande possibilité d’aménagement. 

A découvrir sans tarder !"
6,6,HS92_7,Antony 92160 (Centre-ville),"Achat maison 4 pièces 85 m², Antony - 676 000 €",676 000 €,85 m²,4 pièces,3 chambres,,Jardin,,,,7 647 €/m²,Réf. de l’annonce : 2051,Publiée il y a plus de 2 mois,Modifiée le 1 déc. 2020,Descriptif de cette maison à vendre de 4 pièces et 85 m²,"Maison 4 pièces idéalement située sur terrain de 525 m². EXCLUSIVITÉ - A VENDRE - Maison à rénover - ANTONY :
dans un environnement exceptionnel, en impasse peu passante
aux abord du parc Heller, à seulement 7 minutes à pied du RER B Fontaine-Michalon
sur un terrain de 525 m² environ
Maison à rénover comprenant :
- Au rez-de-chaussée de plain pied sur terrasse et jardin : entrée, cuisine ouverte sur séjour, garage aménagé en pièce, 1 chambre, salle de bains avec fenêtre, toilettes séparés avec fenêtre;
- A l'étage : palier, 2 chambres (possibilité 3ème pièce), 2 greniers aménagés ;
- Au sous-sol : buanderie / chaufferie, cave.
A l'extérieur : 2 appentis.
Magnifique jardin.
Possibilité rénovation et extension ou démolition.
dont 4.00 % honoraires TTC à la charge de l'acquéreur."
7,7,HS92_8,Antony 92160 (Baconnets),"Achat maison 3 pièces 68 m², Antony - 417 000 €",417 000 €,"68,28 m²",3 pièces,2 chambres,,Jardin,,,,5 902 €/m²,Réf. de l’annonce : 1848,Publiée il y a plus de 2 mois,Modifiée le 2 déc. 2020,Descriptif de cette maison à vendre de 3 pièces et 68 m²,"Maison Antony 3 pièce(s) 68.28 m2. A VENDRE Fontaine Michalon : Venez découvrir cette charmante maison de 3 pièces très bien agencée et décorée avec goût. L'accès à la maison se fait par une petite cour avec un abri de jardin et espace rangement. Elle se compose au rez-de-chaussée : d'une entrée avec placard, d'un séjour exposé Sud-Ouest, d'une cuisine indépendante de 12 m² avec espace repas (possibilité US) et buanderie. A l'étage : Une grande chambre de 18 m² avec nombreux rangements, WC séparés, une deuxième chambre et une salle de bains.
La maison a été entièrement rénovée en 2006 et parfaitement entretenue depuis (toiture shingle, peintures de 2020) Située à 5 minutes de la gare RER B Fontaine Michalon (400 m)
Atypique et beaucoup de charme. Idéal premier achat, jeune couple.
Ne cherchez plus votre maison elle vous attend!
Visite virtuelle : Voir la visite virtuelle dont 3.47 % honoraires TTC à la charge de l'acquéreur."
8,8,HS92_9,Antony 92160 (Baconnets),"Achat maison 6 pièces 135 m², Antony - 634 000 €",634 000 €,135 m²,6 pièces,3 chambres,2 places de parking,Jardin,,1 terrasse,,4 585 €/m²,Réf. de l’annonce : 1945,Publiée il y a plus de 2 mois,Modifiée le 3 nov. 2020,Descriptif de cette maison à vendre de 6 pièces et 135 m²,"Maison Antony 6 pièce(s) 135 m2. Dans un écrin de verdure , venez découvrir cette maison familiale de plein pied édifiée sur son terrain de 569 m² , sans vis à vis et en triple exposition. Elle comprend une entrée qui dessert un beau séjour cathédrale avec cheminée , ouvert sur sa terrasse et son vaste jardin sud, 3 chambres avec accès jardin avant et arrière, salle de bains , salle d'eau, wc indépendant - Une mezzanine de 32 m² domine tout l'espace de réception , possibilité 2 chambres supplémentaires- En complément de la maison , avec son accès séparé , un F2 de 26 m² loué meublé jusqu' en octobre 2020 ( loyer 746 euros mensuel)- Sous sol avec buanderie , atelier , wc , douche - Garage fermé - Possibilité profession libérale -Pour tous renseignements : David Ceççon / Voir le téléphone ou Contacter
VISITE VIRTUELLE DISPONIBLE : Voir la visite virtuelle dont 2.42 % honoraires TTC à la charge de l'acquéreur."
9,9,HS92_10,Asnières-sur-Seine 92600 (Coubertin),"Achat maison 4 pièces 115 m², Asnières-sur-Seine - 750 000 €",750 000 €,115 m²,4 pièces,3 chambres,1 place de parking,Jardin,,Terrasse,,6 522 €/m²,,Publiée le 7 déc. 2020,Réf. de l’annonce : nTKxWmaBS,Descriptif de cette maison à vendre de 4 pièces et 115 m²,"Maison - 4 pièces - 115 m² - Asnières-sur-Seine 92600. Nous vous conseillons de demander à visiter dans un premier temps ce bien en visio conférence ! Notre conseiller reste disponible.
WELMO, la 1ère agence immobilière en ligne, vous présente :
ASNIÈRES-SUR-SEINE - (92600) - 4 PIÈCES - LUMINEUX - JARDIN - GARAGE - IMPASSE CALME
Vous souhaitez visiter ce bien ? Planifiez directement une visite sur le site WELMO avec la référence : kpjYrlMPLt
En plein cour d'Asnières-sur-Seine, une belle maison de 150 m2 (115 m2 Carrez) AVEC JARDIN répartie sur 4 niveaux dans une IMPASSE CALME ET LUMINEUSE.
Elle se compose au rez-de-chaussée d'une entrée desservant une grande chambre, une belle salle d'eau, une cuisine d'été donnant sur un JARDIN ARBORÉ de 50 m2 incluant une TERRASSE de 11 m2 et un grand GARAGE.
Au premier étage, vous disposez d'un grand salon avec cheminée, d'une cuisine équipée et aménagée ouverte sur une salle à manger. Au second étage, une grande salle de bains avec WC et deux grandes chambres dont une avec dressing.
Un salon cinéma, un local technique, et un vaste espace de rangements complète ce bien en sous-sol.
Proche de toutes commodités.
À 500 mètres de la station de métro Les Agnettes.
Nombre de lots : 0
Charges prévisionnelles annuelles : 156 €
WELMO, commission de 2,9% à la charge de l'acquéreur incluse dans le prix de vente affiché"
