,Unnamed: 0,id_hourse,Addresse,Titre,Prix,Surface,Nb_piece,Nb_chambre,Parking,Jardin,Ascenseur,Terrasse,Garage,Prix_sur,Reference,Date_publication,Date_modification,Titre_description,Description
0,0,PA75_0,Paris 13e 75013 (Butte-aux-Cailles),"Achat maison 5 pièces 133 m², Paris 13e - 1 695 000 €",1 695 000 €,133 m²,5 pièces,4 chambres,,,,,,"12,3k €/m²",Réf. de l’annonce : 221,Publiée le 27 oct. 2020,Modifiée le 28 oct. 2020,Descriptif de cette maison à vendre de 5 pièces et 133 m²,"Dans un quartier très recherché du 13ème arrondissement, au pied de la Butte aux Cailles, venez découvrir cette très belle maison de 144m2 au sol (133,46m2 loi Carrez) située dans une copropriété de très bon standing.
Composée de quatre niveaux avec au rez-de-chaussée, une entrée, un séjour exposé plein ouest avec vue dégagée sur le square Henri Rousselle, une cuisine ouverte équipée avec des matériaux de qualité. 
Au premier étage, deux chambres, une salle d'eau et un WC séparé.
Au deuxième et dernier étage, une suite parentale avec une salle de bains, un dressing et un balcon.
Au sous-sol, une grande chambre.
La maison dispose de nombreux rangements ainsi que deux caves en sous-sol."
1,1,PA75_1,Paris 19e 75019 (Secrétan - Jaurès),"Achat maison 3 pièces 47 m², Paris 19e - 577 500 €",577 500 €,"47,03 m²",3 pièces,1 chambre,,,,,,"11,7k €/m²",Réf. de l’annonce : 006909E1LWIQ,Publiée il y a plus de 2 mois,Modifiée le 17 nov. 2020,Descriptif de cette maison à vendre de 3 pièces et 47 m²,"Appartement Paris 3 pièce(s) 47.03 m2. AVENUE SECRETAN - COUP DE COEUR- ATYPIQUE- A proximité du Marché Secrétan, des Commerces et des Transports, AU CALME A l'arrière d'une copropriété verdoyante, se trouve une MAISON ATYPIQUE sur deux niveaux comprenant au rez-de-chaussée, un séjour d'environ 16 m², un bureau, une cuisine, un, WC. A l'étage, une chambre d'environ 13 m², une salle de bains. Local à vélos dans la copropriété.. A VISITER SANS TARDER. RARE SUR LE SECTEUR. EXCLUSIVITÉ. Cliquer sur le lien pour la visite virtuelle"
2,2,PA75_3,Paris 19e 75019 (Porte de la Villette),"Achat maison 6 pièces 150 m², Paris 19e - 1 263 000 €",1 263 000 €,150 m²,6 pièces,4 chambres,,,,1 terrasse,,8 420 €/m²,Réf. de l’annonce : 2990,Publiée le 28 nov. 2020,Modifiée le 5 déc. 2020,Descriptif de cette maison à vendre de 6 pièces et 150 m²,"Vend maison de ville de 6 pièce(s) de 116.01 en carrez + 31.24 au sol et environ 80m² terrasse. AVENUE CORENTIN CARIOU / AU PIED DE LA VILETTE ET DU CANAL ST DENIS venez découvrir ce bien rare offrant un extérieur d'environ 80 m² (116m² carrez + 34 m² au sol). Votre famille se sentira comme dans un vrai cocon à l'intérieur de cette maison totalement atypique, dont le charme vous séduira immédiatement. Les prestations de qualité sont au rendez-vous et vous pourrez l'agencer à votre guise (possibilité de créer 2 chambres additionnelles + SDE soit au total 4 chambres + un studio totalement indépendant). Pour ce qui est de vos amis, il y des chances qu'ils n'aient plus envie de partir de chez vous !
Visite virtuelle consultable sur l'annonce à côté de l'onglet photo.
'Notre agence de Marx Dormoy près du marché de l'Olive, spécialisée dans la vente, la location et la gestion d'appartements et de commerces est heureuse de vous accueillir tous les jours du lundi au samedi afin de vous faire visiter cet appartement. Nous réalisons gratuitement les estimations d'appartements en vente et en location. Retrouvez toutes nos annonces en primeur sur notre sité '.
Copropriété de 73 lots (Pas de procédure en cours).
Charges annuelles : 4411.60 euros."
3,3,PA75_4,Paris 19e 75019 (Porte de la Villette),"Achat maison 6 pièces 150 m², Paris 19e - 1 263 000 €",1 263 000 €,150 m²,6 pièces,4 chambres,,,,1 terrasse,,8 420 €/m²,Réf. de l’annonce : 3001,Publiée le 4 déc. 2020,Modifiée le 5 déc. 2020,Descriptif de cette maison à vendre de 6 pièces et 150 m²,"Vend maison de ville de 6 pièce(s) de 116.01 en carrez + 31.24 au sol et environ 80m² terrasse. AVENUE CORENTIN CARIOU / AU PIED DE LA VILETTE ET DU CANAL ST DENIS venez découvrir ce bien rare offrant un extérieur d'environ 80 m² (116m² carrez + 34 m² au sol). Votre famille se sentira comme dans un vrai cocon à l'intérieur de cette maison totalement atypique, dont le charme vous séduira immédiatement. Les prestations de qualité sont au rendez-vous et vous pourrez l'agencer à votre guise (possibilité de créer 2 chambres additionnelles + SDE soit au total 4 chambres + un studio totalement indépendant). Pour ce qui est de vos amis, il y des chances qu'ils n'aient plus envie de partir de chez vous !
Visite virtuelle consultable sur l'annonce à côté de l'onglet photo.
'Notre agence de Marx Dormoy près du marché de l'Olive, spécialisée dans la vente, la location et la gestion d'appartements et de commerces est heureuse de vous accueillir tous les jours du lundi au samedi afin de vous faire visiter cet appartement. Nous réalisons gratuitement les estimations d'appartements en vente et en location. Retrouvez toutes nos annonces en primeur sur notre sité '.
Copropriété de 73 lots (Pas de procédure en cours).
Charges annuelles : 4411.60 euros."
4,4,PA75_5,Paris 19e 75019 (Porte de la Villette),"Achat maison 6 pièces 150 m², Paris 19e - 1 263 000 €",1 263 000 €,150 m²,6 pièces,4 chambres,,,,1 terrasse,,8 420 €/m²,Réf. de l’annonce : 3002,Publiée le 4 déc. 2020,Modifiée le 5 déc. 2020,Descriptif de cette maison à vendre de 6 pièces et 150 m²,"Vend maison de ville de 6 pièce(s) de 116.01 en carrez + 31.24 au sol et environ 80m² terrasse. AVENUE CORENTIN CARIOU / AU PIED DE LA VILETTE ET DU CANAL ST DENIS venez découvrir ce bien rare offrant un extérieur d'environ 80 m² (116m² carrez + 34 m² au sol). Votre famille se sentira comme dans un vrai cocon à l'intérieur de cette maison totalement atypique, dont le charme vous séduira immédiatement. Les prestations de qualité sont au rendez-vous et vous pourrez l'agencer à votre guise (possibilité de créer 2 chambres additionnelles + SDE soit au total 4 chambres + un studio totalement indépendant). Pour ce qui est de vos amis, il y des chances qu'ils n'aient plus envie de partir de chez vous !
Visite virtuelle consultable sur l'annonce à côté de l'onglet photo.
'Notre agence de Marx Dormoy près du marché de l'Olive, spécialisée dans la vente, la location et la gestion d'appartements et de commerces est heureuse de vous accueillir tous les jours du lundi au samedi afin de vous faire visiter cet appartement. Nous réalisons gratuitement les estimations d'appartements en vente et en location. Retrouvez toutes nos annonces en primeur sur notre sité '.
Copropriété de 73 lots (Pas de procédure en cours).
Charges annuelles : 4411.60 euros."
5,5,PA75_6,Paris 14e 75014 (Didot - Porte de Vanves),"Achat maison 4 pièces 72 m², Paris 14e - 1 295 000 €",1 295 000 €,72 m²,4 pièces,2 chambres,1 place de parking,Jardin,,Terrasse,1 garage,18k €/m²,Réf. de l’annonce : GARA3614A,Publiée le 4 déc. 2020,Modifiée le 6 déc. 2020,Descriptif de cette maison à vendre de 4 pièces et 72 m²,"Maison avec terrasse plein sud. Au coeur d'un passage pavé, secret et arboré, maison sur 3 niveaux avec jardin, d'une surface pondérée de 88m². Intégrale et élégante rénovation pour cette maison, composée, au RdC, d'un vaste séjour avec cuisine équipée US et à l'étage, de deux chambres avec une superbe SdB et un dressing. Confort +++ En R-1, une belle pièce, nombreux rangements intégrés, fenêtre. Modulable : possibilité d'aménagement des combles ainsi que d'extension sur la surface extérieure. Lumière généreuse, vue sur végétation, villa paisible et sécurité totale, l'ensemble à l'abri des regards, donne à ce lieu un air de petit paradis à Paris. Cabane incluse. Pour le stationnement, un box à proximité immédiate complète ce bien. Lot distinct de la villa. Possibilité d'acquisition de la villa sans box. Hauteur sous plafond : 2,80 m."
6,6,PA75_7,Paris 14e 75014 (Mouton - Duvernet),"Achat maison 7 pièces 100 m², Paris 14e - 1 872 000 €",1 872 000 €,"100,48 m²",7 pièces,5 chambres,,,,,,"17,9k €/m²",Réf. de l’annonce : 4075,Publiée le 4 déc. 2020,Modifiée le 7 déc. 2020,Descriptif de cette maison à vendre de 7 pièces et 100 m²,"MAISON 7 PIECES DE 100,48M2 AVEC JARDIN DE 30M2. L'agence STEPHANE PLAZA MONTROUGE vous propose en exclusivité, Rue Daguerre, à 5 minutes à pieds du métro Denfert-Rochereau (M4, M6 et RER B), une maison d'une surface de 100,48m2 (surface au sol de 120,90m2) avec jardin de 30m2 comprenant 4 niveaux. En rez-de-jardin : une chambre, une salle de bains avec bain à remous, double vasque et fenêtre, un dégagement, avec coin buanderie ainsi qu'un studio comprenant une pièce de vie avec placards, kitchenette, une salle d'eau avec WC. Au premier niveau : une salle à manger avec cheminée, une cuisine séparée équipée et aménagée et une chambre. Au 2ème niveau : Un séjour de 24m2, un WC séparé et une buanderie (possibilité de créer une cuisine ou un bureau). Au 3ème niveau : des combles aménagés comprenant deux chambres de 15,58m2 et 12,10m2 au sol avec Velux double vitrage, une salle d'eau avec WC sanibroyeur. Chauffage individuel électrique. Charges de copropriété de 195 euros par mois. Hauteur sous plafond de 2,80 mètres. Possibilité de parking en sus à 3 minutes à pieds. Au pied des commerces. BUS 38/59/68/88/92. Bien rare, nouveauté ! dont 4.00 % honoraires TTC à la charge de l'acquéreur.
Copropriété de 8 lots (Pas de procédure en cours).
Charges annuelles : 2340.00 euros."
7,7,PA75_8,Paris 13e 75013 (Olympiades - Choisy),"Achat maison 9 pièces 267 m², Paris 13e - 2 835 000 €",2 835 000 €,267 m²,9 pièces,5 chambres,,,,,,"10,1k €/m²",Réf. de l’annonce : F65UBI,Publiée le 13 nov. 2020,Modifiée le 8 déc. 2020,Descriptif de cette maison à vendre de 9 pièces et 267 m²,"PARIS 13 - EXCLUSIVITE - METRO TOLBIAC - MAISON 9 PIECES - TERRASSE ET JARDIN - CALME. EXCLUSIVITE - METRO TOLBIAC. Grande et belle maison familiale à l'abri des regards. Agencement idéal avec deux escaliers intérieurs, trois niveaux et nombreux agencements possibles. Elle est composée au rez-de-chaussée d'un vaste salon / salle à manger avec cuisine ouverte, le tout donnant sur un jardin/terrasse de 75m², dégagement, WC séparés, suite parentale avec dressing, salle d'eau et deuxième WC. A l'étage : un bureau au calme, une deuxième suite avec salle d'eau et WC, 2 chambres supplémentaires dont une avec mezzanine, une grande salle de bains avec WC. Au niveau inférieur : une salle de détente de plus de 65m² (idéal pour y faire sa salle de sport ou de projection). Hammam avec point d'eau et WC. Une chambre d'ami ou bureau, buanderie/chaufferie.
Maison ou le calme règne, UNE RARETE A VOIR RAPIDEMENT !
Les biens ci-avant désignés représentant les lots n°22 de la copropriété qui comporte 24 lots. La moyenne des charges courantes annuelles pour ces lots est de 2 221.72 €. Procédure contre le syndicat : Non"
8,8,PA75_9,Paris 20e 75020 (Saint-Blaise),"Achat maison 5 pièces 139 m², Paris 20e - 1 340 000 €",1 340 000 €,139 m²,5 pièces,3 chambres,1 place de parking,,,,,9 640 €/m²,,Publiée le 28 oct. 2020,Réf. de l’annonce : 2521EP,Descriptif de cette maison à vendre de 5 pièces et 139 m²,"Maison de ville au coeur du Village Charonne. Située rue Saint-Blaise, au calme d'une cour à l'abri des regards, cette maison de ville du 18ème siècle développe 170 m2 au sol et 120,33 m2 Carrez sur 3 niveaux.
Au rez-de-chaussée un escalier privatif mène au premier étage à une palier distribuant une pièce de vie de 38 m2 avec vue sur une cour pavée et végétalisée, une cuisine, une salle de bains, un wc indépendant ainsi qu'un bureau de 18 m².
Au niveau supérieur, deux chambres avec de nombreux rangements se partagent une salle de bains et un wc.
Une cave voûtée directement accessible depuis le rez-de-chaussée ainsi qu'un espace de stockage en étage complètent l'ensemble.
Ce lieu de vie empreint de quiétude offre de multiples possibilités d'aménagement et bénéficie d'une agréable luminosité mettant en valeur les volumes.
Ce bien soumis au statut de la copropriété est agrémenté d'un emplacement de parking situé dans la même rue.
Métro : Maraîchers
Contact : Alain Voir le téléphone
RSAC : 538 668 351 Paris
Copropriété de 9 lots (Pas de procédure en cours).
Charges annuelles : 3358.00 euros."
9,9,PA75_10,Paris 14e 75014 (Mouton - Duvernet),"Achat maison 6 pièces 124 m², Paris 14e - 1 700 000 €",1 700 000 €,124 m²,6 pièces,2 chambres,,Jardin,,1 terrasse,,"13,7k €/m²",Réf. de l’annonce : 2450EP,Publiée il y a plus de 2 mois,Modifiée le 3 nov. 2020,Descriptif de cette maison à vendre de 6 pièces et 124 m²,"Maison d'architecte rue Daguerre. Au coeur du quartier Daguerre, au fond d'une cour privative de 30 m² et dans un calme absolu cette maison d'architecte développe de 121 m² (114 m² Carrez) sur trois niveaux.
L'entrée ouvre directement sur un volume cathédral dont la double hauteur de 6 m offre un jeu de perspectives avec la mezzanine et les nombreuses ouvertures donnant sur l'extérieur.
En contre bas de l'entrée et du cabinet de toilette, un espace de réception de 38 m² agencé en open-space est divisé en deux parties avec d'un côté une partie salon avec cheminée et de l'autre un espace salle à manger ouvrant sur une cuisine séparée.
Un escalier aérien, véritable colonne vertébrale de la maison distribue en inter-palier un bureau / mezzanine et un espace sous véranda idéal pour profiter quotidiennement d'une luminosité constante sans vis-à-vis. La vue plongeante sur le salon offre un esprit résolument loft à l'ensemble.
Dans sa continuité l'escalier dessert un deuxième et dernier étage, composé de deux chambres dont une suite parentale avec salle de douche/bain et dressing. La seconde chambre dispose également d'une salle de bains.
L'exposition sud, les nombreuses ouvertures, le volume général et le calme absolue confèrent à cette maison un caractère singulier renforcé par une localisation à proximité immédiate des commerces de la rue Daguerre et des transports.
Une cave dans la maison complète ce bien soumis au statut de la copropriété.
Métro : Denfert-Rochereau
Contact : Paul-Édouard - Voir le téléphone - Agent commercial - RSAC : 851 883 173 Paris
Copropriété de 13 lots (Pas de procédure en cours)."
