,Unnamed: 0,id_hourse,Addresse,Titre,Prix,Surface,Nb_piece,Nb_chambre,Parking,Jardin,Ascenseur,Terrasse,Garage,Prix_sur,Reference,Date_publication,Date_modification,Titre_description,Description
0,0,SSD93_0,Saint-Denis 93200 (Pleyel),"Achat maison 5 pièces 115 m², Saint-Denis - 630 000 €",630 000 €,115 m²,5 pièces,3 chambres,1 place de parking,Jardin,,,,5 217 €/m²,,Publiée il y a plus de 2 mois,Réf. de l’annonce : 2943,Descriptif de cette maison à vendre de 5 pièces et 115 m²,"Maison ancienne métro Carrefour Pleyel. CHARME DE L'ANCIEN A la limite de St Ouen, ligne 13 Métro Carrefour Pleyel dans une petite rue proche de toutes commodités.Maison avec de beaux volumes d'une superficie de 115m² et un sous sol total de 40m² et 100m² d'extérieur composée; entrée avec dressing, séjour double avec cuisine aménagée ouverte sur séjour, une grande chambre attenant au salon possibilité de faire une pièce de vie de 45m², à l'étage 3 chambres, un bureau, palier avec rangement , salle d'eau, et 2 wc. extérieur une belle courette avant fleurie, accès voitures couvert pour 2 voitures, une cour arborée et une remise aménagée en buanderie. MAISON COUP DE COEUR DOUBLE EXPOSITION LUMINEUSE dont 5.00 % honoraires TTC à la charge de l'acquéreur."
1,1,SSD93_1,Drancy 93700 (Village Parisien),"Achat maison 6 pièces 107 m², Drancy - 375 000 €",375 000 €,"106,89 m²",6 pièces,4 chambres,1 place de parking,Jardin,,,,3 508 €/m²,Réf. de l’annonce : 32574,Publiée il y a plus de 2 mois,Modifiée le 4 déc. 2020,Descriptif de cette maison à vendre de 6 pièces et 107 m²,"BLANC MESNIL Une Magnifique Maison construction neuve jamais habité, pour vos soirées télé vous disposerez d'un superbe séjour, et pour loger toute la famille 4 chambres dont une suite parental, 2 salle d'eaux. Une cuisine spacieuse pour préparer de bons petits. Vous pourrez mettre votre voiture à l'abri dans ce grand garage et stationner un 2éme véhicule dans l'allée. Soyez les premiers à décorer cette maison ayant tous les critères de la maison aujourd'hui"
2,2,SSD93_3,Tremblay-en-France 93410 (Le Vert Galant),"Achat maison 6 pièces 140 m², Tremblay-en-France - 408 000 €",408 000 €,140 m²,6 pièces,4 chambres,1 place de parking,Jardin,,Terrasse,,2 914 €/m²,,Publiée le 8 déc. 2020,Réf. de l’annonce : 7w3VoSH1f,Descriptif de cette maison à vendre de 6 pièces et 140 m²,"Maison - 6 pièces - 140 m² - Tremblay-en-France 93410. Nous vous conseillons de demander à visiter dans un premier temps ce bien en visio conférence ! Notre conseiller reste disponible.
WELMO, la 1ère agence immobilière en ligne, vous présente :
TREMBLAY-EN-FRANCE - (93410) - MAISON 6 PIÈCES - CALME - ARBORÉ - GARAGE - LUMINEUX - TERRASSE - JARDIN
Vous souhaitez visiter ce bien ? Planifiez directement une visite sur le site WELMO avec la référence : j2cAN8gkmJ
Une belle maison sur deux niveaux (secteur Vert galant limite Vaujours), de 139 m2 6 pièces, 4 chambres sur un grand terrain arboré de 304 m2.
Elle se compose au rez-de-chaussée d'une belle entrée donnant sur un vaste double séjour lumineux de 50 m2 avec accès terrasse par baie vitrée coulissante, d'une belle cuisine équipée et aménagée avec cellier ainsi que des WC indépendants.
A l'étage vous disposez de 4 chambres (12 à 14 m2) dont trois avec rangements intégrés, d'une salle d'eau avec WC ainsi qu'une salle de bains.
Aucun travaux a prévoir, chauffage à gaz et cheminée dans le séjour.
Allée commune privée, vous disposez en complément d'un grand garage indépendant de 27 m2 (possibilité de garer deux à trois voitures devant le bien).
Proche de toutes commodités à proximité immédiate des commerces, transports et écoles.
Visite virtuelle disponible sur WELMO avec la référence : j2cAN8gkmJ
WELMO, commission de 1,9% à la charge de l'acquéreur incluse dans le prix de vente affiché"
3,3,SSD93_4,La Courneuve 93120 (Centre-ville),"Achat maison 6 pièces 110 m², La Courneuve - 440 000 €",440 000 €,110 m²,6 pièces,4 chambres,1 place de parking,Jardin,,,,4 000 €/m²,Réf. de l’annonce : 749261001-282,Publiée le 18 nov. 2020,Modifiée le 18 nov. 2020,Descriptif de cette maison à vendre de 6 pièces et 110 m²,"CONTRAT PREMIUM - SECTEUR LA COURNEUVE. Charmant pavillon individuel et non-mitoyen, d'environ 110m2 habitable, édifié sur 674m2 de terrain, comprenant:
- un sous-sol total surélevé divisé en cuisine d'été, chaufferie, bureau, cave;
- un rdc proposant un séjour ouvert sur cuisine dinatoire, une chambre, une salle de bains, un wc;
- un étage agencé en 3 chambres, deux bureaux, un wc;
- Jardin et garage Possibilités de rentrer plusieurs véhicules.
Cette maison est habitable de suite. Proche de toutes commodités.
Idéal pour une famille ou commerçants.
Transports STATION - HOTEL DE VILLE DE LA COURNEUVE TRAMWAY 93120 - LA COURNEUVE STATION - HOTEL DE VILLE DE LA COURNEUVE 93120 - LA COURNEUVE STATION - HOTEL DE VILLE CENTRE ADMINISTRATIF 93120 - LA COURNEUVE Éducation
ECOLE MATERNELLE RAYMOND POINCARÉ
80 AVENUE DE LA REPUBLIQUE 93120 LA COURNEUVE COLLÈGE POINCARÉ
84 AVENUE DE LA REPUBLIQUE 93120 LA COURNEUVE ECOLE MATERNELLE LOUISE MICHEL 3 SENTE DE LA SOUCHE 93120 LA COURNEUVE Santé
PHARMACIE MAFRANC 93120 LA COURNEUVE LBM EYLAU UNILABS SITE LA COURNEUVE 93120 LA COURNEUVE SERVICE AEMO (SIOE LA COURNEUVE) 93120 LA COURNEUVE Administration PÔLE EMPLOI DE LA COURNEUVE
139 AVENUE PAUL-VAILLANT-COUTURIER 93126 LA COURNEUVE CEDEX MISSION LOCALE INTERCOMMUNALE DE LA COURNEUVE-LE BOURGET-DUGNY 91-93 AVENUE DE LA RÉPUBLIQUE 93120 LA
COURNEUVE COMMISSARIAT DE POLICE DE LA COURNEUVE 16 PLACE DU POMMIER-DE-BOIS 93120 LA COURNEUVE
Mentions légales :
Honoraires à la charge du vendeur"
4,4,SSD93_5,Livry-Gargan 93190 (Centre-ville),"Achat maison 3 pièces 70 m², Livry-Gargan - 326 000 €",326 000 €,70 m²,3 pièces,2 chambres,3 places de parking,Jardin,,,,4 657 €/m²,Réf. de l’annonce : 010931E1NZEV,Publiée le 3 nov. 2020,Modifiée le 8 déc. 2020,Descriptif de cette maison à vendre de 3 pièces et 70 m²,"Maison Livry Gargan 3 pièce(s) 70 m2. EXCLUSIVITÉ ORPI..... . Dans le secteur de la Maire, pavillon sur sous-sol total comprenant :. Au sous-sol, WC, une cuisine d'été, un dégagement. un garage et un établie, le tout sur une hauteur sous plafond de 2.20m. Au 1er étage : entrée, cuisine, séjour, salle d'eau récente avec WC et deux chambres.. . Le jardin vous accueillera à l'arrière de cette maison non mitoyenne !. . Le tout sur une parcelle de 337 m²...... . Proches des écoles, bus et commodités à pieds..... . VISITE VIRTUELLE DISPONIBLE !. . À VISITER !!!!"
5,5,SSD93_6,Bondy 93140 (La Mare à Veuve),"Achat maison 4 pièces 82 m², Bondy - 347 700 €",347 700 €,82 m²,4 pièces,,,,,,,4 240 €/m²,Réf. de l’annonce : GB00118416,Publiée le 29 oct. 2020,Modifiée le 19 nov. 2020,Descriptif de cette maison à vendre de 4 pièces et 82 m²,"Maison. BONDY – PROCHE GARE ET ECOLES – SECTEUR PAVILLONNAIRE Venez découvrir cette belle maison d’environ 82 m² (surface utile 115 m²) situé au CALME DANS UN QUARTIER PAVILLONNAIREElle se situe à seulement 2 min à pied de la GARE RER E BONDY, DES ECOLES ET GARDERIES (maternelle, primaire, collège, crèche).Le rez-de-chaussée comprend : une entrée, une cuisine ouverte donnant un accès direct à une belle DEPENDANCE d’environ 34 m², un WC séparé et un séjour lumineux disposant d’une exposition SUD-EST A l’étage : un couloir avec placard intégré, trois belles chambres et une salle de bains avec WC intégré.A l’extérieur : un jardin comprenant une terrasse et un barbecueSurface terrain : 195 m²La maison ne comprend pas de garage"
6,6,SSD93_7,Montreuil 93100 (Bel Air - Grand Pêchers),"Achat maison 7 pièces 206 m², Montreuil - 699 000 €",699 000 €,206 m²,7 pièces,5 chambres,,Jardin,,,,3 393 €/m²,Réf. de l’annonce : 2145,Publiée il y a plus de 2 mois,Modifiée le 8 déc. 2020,Descriptif de cette maison à vendre de 7 pièces et 206 m²,"Maison secteur des murs à pêche MONTREUIL. Grande maison familiale, située en plein coeur des murs à pêche, quartier en pleine évolution.
A 5mn de la piscine écologique , 5mn parc des Beaumonts, venez découvrir cette maison pleine de charme aux volumes généreux composée au 1er niveau d'une vaste entrée, cuisine, pièce de vie(séjour/salle à manger) de 55m² avec poêle à bois, un WC et une chambre.
Au 2nd niveau vous trouverez 4 chambres et une grande salle d'eau avec WC.
Au rez de jardin une buanderie/chaufferie, un garage de 27m² + un studio pouvant être loué, ou servir de bureau, atelier,.. selon le besoin.
Vous y trouverez également de quoi passer des moments de détente (hammam, sauna et véranda avec jacuzzi).
Une jolie cour à l'arrière de 60m² vient compléter ce bien pour profiter des barbecues d'été.
Bien rare !
20mn à pieds métro mairie de Montreuil L9 (10mn en bus 122), 5mn future station de tramway T1
découvrez la en visite virtuelle :
Voir la visite virtuelle"
7,7,SSD93_8,Rosny-sous-Bois 93110 (La Justice),"Achat maison 8 pièces 263 m², Rosny-sous-Bois - 1 260 000 €",1 260 000 €,"262,59 m²",8 pièces,5 chambres,2 places de parking,Jardin,,1 terrasse,,4 798 €/m²,,Publiée il y a plus de 2 mois,Réf. de l’annonce : 1911,Descriptif de cette maison à vendre de 8 pièces et 263 m²,"Maison d'Architecte. EXCLUSIVITÉ - MAISON 8 PIÈCES AU CALME
En vente : dans la ville de ROSNY SOUS BOIS (93110) découvrez cette maison de 8 pièces au calme de 262,59 m².
Elle bénéficie d'une exposition sud. C'est une maison de 2 étages de bon standing. Elle a été construite en 1957. La maison est équipée d'un interphone. Elle est organisée comme suit : deux pièces à vivre (de 36 et 51 m²) et une salle à manger de 20 m². Cette maison est aussi composée d'une cuisine de 36 m² aménagée et équipée et de cinq chambres (entre 12 et 37 m²). Elle offre également deux salles d'eau, une salle de bains et quatre toilettes. Elle inclut aussi une entrée, un dressing, un atelier, un dégagement, un couloir et une chaufferie. Un chauffage convecteur électrique est installé dans la maison. Cette maison de 8 pièces est en excellent état général avec un extérieur en bon état.
Idéal pour profiter des beaux jours, ou simplement prendre l'air, cette maison dispose également d'une terrasse (30 m²) et d'un jardin. Le terrain de la propriété s'étend sur 503 m². En plus de ses 8 pièces réparties sur 2 étages, ce logement est vendu avec une cave.
Concernant le stationnement de vos véhicules, cette maison possède un garage et deux places de parking.
La maison se situe à 10 minutes des écoles. L'arrêt de bus se situe à deux minutes du bien. On trouve également la gare à 10 minutes. On trouve un bureau de poste et de nombreux restaurants à proximité.
Cette maison de 8 pièces est proposée à l'achat pour 1 260 000 (honoraires à la charge du vendeur).
L'indice DPE est E pour une consommation énergétique annuelle de 280 kWh/m2. L'indice GES est, quant à lui, de classe D (chiffre annuel : 24 Kg CO?/m²).
N'hésitez pas à prendre contact avec votre agence Guy Hoquet PAVILLONS SOUS BOIS pour une première visite de cette maison à vendre."
8,8,SSD93_9,Noisy-le-Grand 93160 (Centre-ville),"Achat maison 5 pièces 98 m², Noisy-le-Grand - 495 000 €",495 000 €,98 m²,5 pièces,4 chambres,,Jardin,,,,5 051 €/m²,Réf. de l’annonce : 3006,Publiée le 8 déc. 2020,Modifiée le 9 déc. 2020,Descriptif de cette maison à vendre de 5 pièces et 98 m²,"Pavillon familial à Noisy le Grand. NOUVELLE EXCLUSIVITÉ L'ADRESSE COEUR DE VILLE
Visite virtuelle disponible ici : Voir la visite virtuelle
Une maison familiale, ou comment tout faire à pied ?
Rare à la vente, Quartier du Marnois limite centre; à 13' du RER A, 10' du centre ville & ses commerces; & seulement quelques minutes du groupe scolaire du Clos d'Ambert.
111m² au sol !
Découvrez une entrée baignée de lumière, desservant un vaste & lumineux séjour de 30m² ,donnant sur le jardin exposé SUD/OUEST.
Une cuisine indépendante, aménagée & équipée de 10m², ainsi qu'un WC avec lave main.
Un rangement & l'accès au garage attenant de 14m².
A l'étage, une suite parentale de 17m² au sol avec grand dressing intégré, donnant sur une salle de bain moderne disposant d'une fenêtre.
Également, deux autres chambres spacieuses, et une salle d'eau avec WC.
Une dernière chambre sous combles, avec dressing, comblera votre famille !
Volets roulants électriques au premier étage * Ballon électrique de 2018 * Possibilité de garer un second véhicule devant la maison *
En bref un petit nid douillet où il fait bon vivre, il n'y a plus qu'à y mettre votre touche personnelle & poser vos valises."
9,9,SSD93_10,Neuilly-Plaisance 93360 (Côteaux d'Avron),"Achat maison 5 pièces 400 m², Neuilly-Plaisance - 1 320 000 €",1 320 000 €,400 m²,5 pièces,4 chambres,2 places de parking,,,Terrasse,,3 300 €/m²,Réf. de l’annonce : LKM44833,Publiée le 7 déc. 2020,Modifiée le 7 déc. 2020,Descriptif de cette maison à vendre de 5 pièces et 400 m²,"Seulement chez Liberkeys.
Maison 5 pièces de 400.0m² | Avenue Louise | Neuilly-Plaisance
Liberkeys vous propose cette maison T5 de 400m².
Sur le bien :
Maison de 5 pièces refaites à neuf.
Cette belle maison à proximité immédiate du Bois d'Avron ( 30 m) est composée d'une grande entrée donnant sur un salon / à manger de belle hauteur sous plafond orienté plein Sud de 70m². La cuisine entièrement équipée est d""une belle superficie de 18,5 m2. A ce niveau, vous disposez également d'une chambre d'amis de 17m2 avec accès à la piscine extérieure et aux terrasses. WC séparé.
A l'étage, superbe chambre parentale de 30 m2 avec dressing, salle d'eau et WC. Présence en sus d'une salle d'eau avec Wc de 9,5m2 ainsi que de deux chambres de respectivement 25 et 14 m2.
Au sous-sol, présence de deux garages de respectivement 25 et 26 m2, ainsi que d'un bureau de 87 m2 et d'une salle de loisirs de 88 m2.Wc séparé à proximité.
Possibilité de garer deux voitures en extérieur au sein de la propriété.
Grand jardin bien entretenu. Deux terrasses de belle superficie. Vue sur le Bois d'Avron. Quartier calme et résidentiel.
Les plus :
- Proximité immédiate du Bois d'Avron (30m)
- Luminosité
- Grand salon/salle à manger avec une belle hauteur sous plafond
- Cuisine équipée neuve
- Grandes terrasses au calme
- Secteur prisé
- 2 Garages
- Piscine extérieure chauffée
- Jardin avant
- Grand sous-sol aménagé
- Prestige avec matériaux de qualité
Chauffage gaz individuel.
Double vitrage dans toute la maison.
Taxe foncière: 3000 euros/an
Sur la localisation :
Cette magnifique maison prestige se situe à quelques mètres du Bois d'Avron dans un quartier calme et résidentiel.Environnement arboré.
 Proximité des commerces ( Franprix, intermarché.) et des écoles( Lycée Nicolas Joseph Cugnot, école maternelle Les fleurs et le collège Honoré de Balzac). Le Rer A station ""Neuilly-Plaisance"" se situe à environ 12 min"
