Unnamed: 0,id_hourse,Addresse,Titre,Prix,Surface,Nb_piece,Nb_chambre,Parking,Jardin,Ascenseur,Terrasse,Garage,Prix_sur,Reference,Date_publication,Date_modification,Titre_description,Description
0,VO95_0,Goussainville 95190,"Achat maison 4 pièces 70 m², Goussainville - 257 000 €",257 000 €,70 m²,4 pièces,3 chambres,2 places de parking,Jardin,,,1 garage,3 671 €/m²,Réf. de l’annonce : 3863-FOREVER,Publiée il y a plus de 2 mois,Modifiée le 8 déc. 2020,Descriptif de cette maison à vendre de 4 pièces et 70 m²,"PAVILLON F4 SUR SOUS-SOL TOTAL. Découvrez cette maison T4 de 70 m², à vendre à Goussainville (95190), sur sous-sol total.
Elle bénéficie d'une exposition sud-ouest et d'un bon état intérieur. C'est une maison de 2 niveaux construite en 1958. Elle offre une pièce à vivre, trois chambres et une cuisine aménagée. Elle est également composée d'une salle d'eau. La maison dispose d'un chauffage fonctionnant au gaz. L'intérieur de la maison est en bon état.
Le terrain est de 440 m² au total. Ce logement est vendu avec une cave.
Une place de parking en extérieur et une place de parking en intérieur sont prévues pour garer vos véhicules.
Le bien se situe dans la commune de Goussainville. On trouve des établissements scolaires (de la maternelle au lycée) à moins de 10 minutes du bien. On trouve de nombreux restaurants et deux bureaux de poste dans les environs.
Cette maison T4 est proposée à l'achat pour
257 000 €.
Découvrez toutes les originalités de cette maison en vente en prenant rendez-vous avec notre équipe.
Mandat N° 3863. Honoraires à la charge du vendeur.
(lien supprimé) 
L'Immobilier Nouvelle Génération"
1,VO95_1,Ermont 95120 (Balzac - Bapaumes - Rossignaux),"Achat maison 5 pièces 115 m², Ermont - 474 000 €",474 000 €,115 m²,5 pièces,3 chambres,3 places de parking,Jardin,,,,4 122 €/m²,Réf. de l’annonce : 084012E1RVL2,Publiée le 4 déc. 2020,Modifiée le 5 déc. 2020,Descriptif de cette maison à vendre de 5 pièces et 115 m²,"Maison Ermont 5 pièce(s) 115 m2 - 3 chambres. ERMONT - EXCLUSIVITE - Nous vous proposons ce pavillon individuel de 1986 au calme et sans vis à vis à 10 mn de la gare de Gros Noyer Saint Prix (ligne H). Elle se compose d'une vaste entrée,. un double séjour traversant équipé d'une cheminée ouverte avec un accès terrasse , une cuisine équipée indépendante récente, wc, à l'étage : un palier desservant 3 chambres parquetées, une salle d'eau avec wc rénovée entièrement, un grand dressing. Au sous sol , une buanderie, un garage et un atelier. Volets roulants électriques et chauffage électrique récent, le tout édifié sur un terrain de 601 m². . Découvrez ce bien grâce à la visite virtuelle."
2,VO95_5,Frépillon 95740,"Achat maison 13 pièces 600 m², Frépillon - 1 850 000 €",1 850 000 €,600 m²,13 pièces,7 chambres,,Jardin,,,,3 083 €/m²,Réf. de l’annonce : 947,Publiée il y a plus de 2 mois,Modifiée le 1 déc. 2020,Descriptif de cette maison à vendre de 13 pièces et 600 m²,"Manoir de 600 m2 sur 2 hectares de terrain arboré. En Bordure de la Foret de Montmorency, à 25 min de Paris et de l’aéroport de Roissy.
Dans un environnement calme et verdoyant, manoir de type anglo-normand se composant de deux bâtiments reliés par une tour.
Le Manoir offre une habitation principale de 350 m² comprenant au rez-de-chaussée , entrée , séjour, salle à manger avec cheminée, une cuisine ouverte sur l'espace de vie, salon donnant accès aux terrasses et jardins, buanderie, WC.
A l’étage : grand espace palier pouvant faire office de salon, ou de salle de lecture desservant les pièces suivantes, chambre parentale avec baignoire et douche, dressing, WC, 3 chambres, une salle de douche avec toilettes, rangements. 
Le second bâtiment du Manoir, anciennement aménagés en locaux professionnels sur 260 m² peut faire l'objet d'une activité indépendante (accès voiture ou piéton dissocié de la maison principale ), ou être utilisé dans la continuité de l’habitation principale, permettant d’augmenter l'espace des pièces de vie et 4/5 chambres supplémentaires. 
Le manoir dispose également de 7 Box à chevaux, ainsi que d'une carrière et d'un sous sol total. DPE: D
Le tout sur un terrain arboré et forestier de plus de 2 Hectares."
3,VO95_6,Auvers-sur-Oise 95430,"Achat maison 8 pièces 286 m², Auvers-sur-Oise - 1 050 000 €",1 050 000 €,286 m²,8 pièces,5 chambres,,Jardin,,,,3 671 €/m²,Réf. de l’annonce : 902,Publiée il y a plus de 2 mois,Modifiée le 1 déc. 2020,Descriptif de cette maison à vendre de 8 pièces et 286 m²,"Maison 8 pièces - 286 m² - Terrain 1 125 m². Belle maison bourgeoise de 1870, d'une superficie de 286 m2, sise sur un superbe jardin paysager de 1125 m2 entièrement clos de murs. 
Empreinte d'histoire et d'art, cette magnifique demeure saura vous séduire par sa luminosité, ses volumes et ses points de vues : une vaste entrée dessert une cuisine séparée et une salle à manger toit cathédrale avec un accès direct à la terrasse, une double réception avec deux cheminées, un dressing, une douche à l'italienne et une buanderie. 
Le 1er étage distribue 2 très belles chambres dont une suite parentale avec sa salle de bains et douche à jets. Le 2 second étage présente 3 chambres et une salle de bains. 
Sous-sol avec cave à vin, local technique et 2 pièces de stockage. 
Superbe vue sur la Vallée de l'Oise. Vue intimiste du clocher de l'Eglise Notre Dame tant de fois peint par Van Gogh. 
Un vaste patio fermé permet de garer plusieurs voitures à l'intérieur de la propriété. 
Une ancienne grange aux murs de pierres entièrement ravalés bordent ce patio (acquisition possible en option), et nous rappellent la douceur de vivre des illustres peintres du 19 ème siècle en cette Vallée de l'Oise. 
Rénovations récentes : double vitrage, peintures intérieures, chaudière à condensation Wiessamn).
Terrain piscinable. 
Proche toutes commodités : commerces, autoroute, transports SNCF qui vous mènent Gare du Nord en moins d'une demi-heure."
4,VO95_7,Magny-en-Vexin 95420,"Achat maison 9 pièces 228 m², Magny-en-Vexin - 439 000 €",439 000 €,228 m²,9 pièces,3 chambres,2 places de parking,Jardin,,,,1 925 €/m²,Réf. de l’annonce : 084049E1E0RC,Publiée il y a plus de 2 mois,Modifiée le 30 nov. 2020,Descriptif de cette maison à vendre de 9 pièces et 228 m²,"Maison Magny En Vexin 9 pièce(s) 228 m2. A 54 km de PARIS et de la Porte Maillot, au coeur du Parc Naturel du Vexin Français , MAGNY EN VEXIN centre ville, belle maison Bourgeoise du 18éme ayant gardé toute son authenticité, grâce à la conservation de nombreux matériaux d'époque comprenant :. . Au rez de chaussée : entrée, salon, petit salon, salle à manger chacune en parquet massif avec cheminées d'époque, cuisine indépendante avec accès au jardin, salle d'eau wc.. . Au premier étage : palier, 3 chambres avec parquet massif, bureau, dressing, salle d'eau, salle de bains, wc.. . Au deuxième étage deux anciennes chambres de bonnes et greniers offrants un potentiel évolutif.. . Joli jardin clos de murs en pierre , dépendance, caves voûtées. . . Conformément à l'article L.561-5 et suivants du Code Monétaire et Financier, il vous sera demandé de nous présenter une pièce d'identité avant chaque visite.. . Pour tout renseignement complémentaire contacter. Mario FRANCOIS . TEL : Voir le téléphone ou le Voir le téléphone . Agent Commercial ORPI MAGNY -EN VEXIN. N° RSAC : 435466958. . ."
5,VO95_8,Ermont 95120 (Balzac - Bapaumes - Rossignaux),"Achat maison 6 pièces 142 m², Ermont - 550 000 €",550 000 €,142 m²,6 pièces,4 chambres,3 places de parking,Jardin,,,,3 873 €/m²,Réf. de l’annonce : 084012E1RHTQ,Publiée le 24 nov. 2020,Modifiée le 4 déc. 2020,Descriptif de cette maison à vendre de 6 pièces et 142 m²,"Maison Ermont 6 pièce(s) 142 m2 - 4 Chambres et un bureau. Exclusivité Ermont, maison très lumineuse et entièrement rénovée , à 10 mn à pieds de la gare ligne H , écoles à proximités comprenant au rdc : entrée, grand séjour de 41 m² avec accès direct sur terrasse de 28 m² et un joli jardin, un dégagement , cuisine équipée, 2 chambres de plain pied, salle d'eau avec douche à l'italienne, . wc. A l'étage, palier, 2 très grandes chambres dont une avec dressing, un bureau (possibilité de l'utiliser comme une chambre), une salle de douche avec wc. Sous-sol total avec un garage, une buanderie et une grande pièce carrelée. . Maison parfaitement entretenue et dans un environnement au calme. Pour les plus rapides !. Découvrez ce bien grâce à la visite 360°."
6,VO95_9,Éragny 95610 (Roger Guichard - Halage),"Achat maison 7 pièces 337 m², Éragny - 1 500 000 €",1 500 000 €,337 m²,7 pièces,4 chambres,,Jardin,,,,4 451 €/m²,Réf. de l’annonce : 8321,Publiée il y a plus de 2 mois,Modifiée le 27 oct. 2020,Descriptif de cette maison à vendre de 7 pièces et 337 m²,"Maison Eragny 337 m2. EN EXCLUSIVITE
ERAGNY, un havre de paix en bord d'Oise, avec ponton privatif. Magnifique villa édifiée sur un terrain clos et paysagé de 8000 m² avec piscine ! Elle vous offre un grand hall d'entrée, salon, salle à manger, cuisine équipée et véranda. Le tout agrémenté de nombreuses baies vitrées pour une luminosité absolue ! Nous passons à l'étage par un bel escalier en marbre blanc de Carrare desservant un palier, 4 belles chambres et 3 salles de bains.
A l'extérieur, terrasse carrelée, piscine chauffée, chaufferie, barbecue en pierre pour vos soirées d'été, kiosque intimiste, 2 patios, puits et de nombreux garages et dépendances.
Prestations de qualité : alarme, menuiseries aluminium double vitrage, parquet massif, sols en pierre naturelle, cheminée panoramique ... Vous ne pourrez qu'être séduits !
Annonce rédigée sous la responsabilité de Caroline Bénédic agent commercial Voir le téléphone"
7,VO95_10,Jouy-le-Moutier 95280 (Hayette - Bruzacques - Jouannes - Vast),"Achat maison 15 pièces, Jouy-le-Moutier - 980 000 €",980 000 €,,15 pièces,,,,,,,,,Publiée le 8 déc. 2020,Modifiée le 8 déc. 2020,Descriptif de cette maison à vendre de 15 pièces,"PROPRIETE AVEC MAISON DE MAÎTRE, MAISON DE GARDIEN, UN DUPLEX & UN HANGAR DATANT DE 1750. Le cabinet CAZZ immobilier vous présente en exclusivité une superbe propriété datant du milieu du XVIIIème siècle (surface utile : 666m2 - surface d'habitation : 572.3 m2).

Un lieu remarquable où l'on peut se projeter comme lieu d'habitation et disposant de dépendances permettant de nombreux projets selon les besoins. 

Le portail s’ouvre sur une vaste cour pavée, élément central donnant accès à la maison principale, une maison de gardien, un appartement en duplex et un grand hangar. 

Un escalier en pierre mène à la MAISON DE MAÎTRE d'environ 359 m². Au rez-de-chaussée, un vestibule distribue un séjour traversant, une salle à manger, tous deux dotées d’une cheminée, une cuisine équipée dînatoire, avec un grand cellier ou réserve, une salle d’eau et des WC séparés. Une porte-fenêtre donne accès au jardin de 190 m², à l’arrière de la maison.

A l’étage, deux espaces distincts : 
- 2 chambres avec salle d’eau, une double chambre parentale avec une salle de bains, un cabinet de toilette. 
- De la salle à manger, un escalier indépendant mène à un spacieux studio avec une salle d’eau et des WC et une grande pièce à aménager. 

La MAISON DE GARDIEN d’une superficie d'environ 150 m² est sur deux niveaux et comprend au rez-de-chaussée un bureau, à l’étage, un séjour avec une cuisine américaine, une chambre et une salle de bains avec WC. 

Le Loft en duplex d'environ 63m² est composé au rez-de-chaussée d’une pièce avec une kitchenette et une salle de bains avec WC. A l’étage, une grande pièce à vivre avec un coin nuit. 

Pour compléter le bien, une grange en pierre d’environ 94 m2 au sol avec une hauteur sous faîtage d’environ 10m ainsi qu'un atelier avec un local technique.

Située sur la rive droite de l’Oise, au cœur du hameau de VINCOURT de Jouy le Moutier (dit LE VILLAGE) où l'environnement est calme et très agréable. 
Ce quartier, au paysage verdoyant et à l'ambiance familiale, dispose, aux alentours de divers services et infrastructures de transport, de commerce, d'éducation, de culture, de santé.

Les supermarchés sont présents à moins de 5 minutes et tous les dimanches le nouveau marché situé place du bien être est à 1 km. 

La gare de RER la plus proche ""Neuville-Université"" est à 2,8 km. Des arrêts de bus n°34, n°47 et n°48 se trouvent à 250 mètres et amènent aux différentes gares de RER dont les plus proches dont Cergy-Préfecture à 5 KM. La grande école, l'ESSEC Business School, est à 4,4km et l'île de loisir de Cergy-Pontoise à 1,8 kilomètres."
8,VO95_11,Taverny 95150 (Sarments - Vaucelles),"Achat maison 5 pièces 110 m², Taverny - 429 000 €",429 000 €,110 m²,5 pièces,4 chambres,2 places de parking,Jardin,,,,3 900 €/m²,Réf. de l’annonce : 084047E1PSSO,Publiée le 30 nov. 2020,Modifiée le 6 déc. 2020,Descriptif de cette maison à vendre de 5 pièces et 110 m²,"Maison Taverny 5 pièce(s) 110 m2. Maison idéalement située, à deux pas de la gare et du centre ville, elle vous offre au rez de chaussée : une entrée sur séjour double avec accès terrasse et jardin, une cuisine ouverte équipée, une chambre, une salle de bains, wc séparé, à l'étage : palier, une salle d'eau avec wc, trois chambres (poss 5EME), dressing.. Sous sol total avec garage. Jardin de 502 m² sans vis à vis exposée plein SUD.. UN VRAI COUP DE COEUR !. VISITE VIRTUELLE DISPONIBLE !"
9,VO95_12,Écouen 95440,"Achat maison 5 pièces 120 m², Écouen - 360 000 €",360 000 €,120 m²,5 pièces,4 chambres,,Jardin,,,,3 000 €/m²,Réf. de l’annonce : 084025E1QAAF,Publiée le 25 nov. 2020,Modifiée le 1 déc. 2020,Descriptif de cette maison à vendre de 5 pièces et 120 m²,"Maison Ecouen 5 pièce(s) 120 m². Alliance du charme de l'ancien avec une décoration contemporaine pour cette maison de ville située au coeur du village d'Ecouen... . . Vous disposez d'une entrée, un séjour avec cuisine entièrement équipée. Au premier étage une pièce palière desservant 2 belles chambres de 16 et 18 m² env. (dont une avec un dressing) ainsi qu'un Wc indépendant avec lave mains et une salle d'eau. Au deuxième vous découvrirez 2 sublimes chambres, une salle de bains et un Wc avec lave mains. . Un grenier pouvant-être aménagé, disposant d'une vue sur le château d'Ecouen. . . A l'extérieur jardin avec terrasse sans vis-à-vis, appentis servant d'atelier et de stockage pour votre mobilier de jardin avec une mezzanine. . Cave totale + coin buanderie. . . Les + : AUCUN TRVAUX A PREVOIR, MAISON CHALEUREUSE."
